Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\config\broadcasting.php                                                         | PHP        |         30 |         22 |         13 |         65 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\cache.php                                                                | PHP        |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\cors.php                                                                 | PHP        |         11 |         12 |         12 |         35 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\database.php                                                             | PHP        |         81 |         45 |         22 |        148 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\excel.php                                                                | PHP        |         96 |        211 |         26 |        333 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\filesystems.php                                                          | PHP        |         29 |         32 |         13 |         74 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\hashing.php                                                              | PHP        |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\livewire.php                                                             | PHP        |         24 |        112 |         23 |        159 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\logging.php                                                              | PHP        |         66 |         34 |         19 |        119 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\mail.php                                                                 | PHP        |         53 |         47 |         19 |        119 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\permission.php                                                           | PHP        |         30 |         91 |         41 |        162 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\queue.php                                                                | PHP        |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\sanctum.php                                                              | PHP        |         14 |         41 |         11 |         66 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\services.php                                                             | PHP        |         16 |         11 |          7 |         34 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\session.php                                                              | PHP        |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\ventas-proyecto-rick\config\view.php                                                                 | PHP        |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\factories\UserFactory.php                                              | PHP        |         25 |         10 |          5 |         40 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2014_10_12_000000_create_users_table.php                    | PHP        |         27 |         10 |          4 |         41 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2014_10_12_100000_create_password_resets_table.php          | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2019_08_19_000000_create_failed_jobs_table.php              | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php   | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_192028_create_companies_table.php                | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_195247_create_denominations_table.php            | PHP        |         21 |         10 |          4 |         35 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_201448_create_categories_table.php               | PHP        |         20 |         10 |          4 |         34 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_201857_create_products_table.php                 | PHP        |         27 |         10 |          6 |         43 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_204956_create_sales_table.php                    | PHP        |         25 |         10 |          6 |         41 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_205811_create_sale_details_table.php             | PHP        |         22 |         10 |          6 |         38 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_22_222646_create_permission_tables.php              | PHP        |        108 |         10 |         24 |        142 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\CategorySeeder.php                                             | PHP        |         26 |          5 |          4 |         35 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\DatabaseSeeder.php                                             | PHP        |         13 |          6 |          4 |         23 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\DenominationSeeder.php                                         | PHP        |         58 |          5 |          4 |         67 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\ProductSeeder.php                                              | PHP        |         49 |          5 |          3 |         57 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\RolesSeeder.php                                                | PHP        |         14 |          9 |          4 |         27 |
| c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\UserSeeder.php                                                 | PHP        |         46 |          5 |          9 |         60 |
| c:\xampp\htdocs\ventas-proyecto-rick\debug.log                                                                       | Log        |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\ventas-proyecto-rick\package-lock.json                                                               | JSON       |     15,725 |          0 |          1 |     15,726 |
| c:\xampp\htdocs\ventas-proyecto-rick\package.json                                                                    | JSON       |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\ventas-proyecto-rick\phpunit.xml                                                                     | XML        |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\contacts.css                                             | CSS        |        351 |         19 |         36 |        406 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\invoice.css                                              | CSS        |        326 |         31 |         22 |        379 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\mailbox.css                                              | CSS        |        856 |         23 |         48 |        927 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\mailing-chat.css                                         | CSS        |        640 |         14 |         20 |        674 |
