"filename", "language", "PHP", "Log", "HTML", "SCSS", "JavaScript", "Markdown", "XML", "CSS", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\contact_us.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 13, 5, 132
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-400.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 7, 61
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-500.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 7, 61
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-503.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 7, 61
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-maintanence.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 6, 60
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\faq\faq.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 26, 12, 262
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\faq\faq2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 16, 2, 96
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\helpdesk.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 24, 22, 308
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\privacy\privacy.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 25, 9, 138
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\plugins.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9, 1, 14
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\scrollspyNav.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 10, 4, 73
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\structure-minimal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1064, 0, 0, 50, 79, 1193
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\structure.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1065, 0, 0, 50, 80, 1195
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\tables\table-basic.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 11, 12, 72
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\users\account-setting.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 40, 20, 315
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\users\user-profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 348, 0, 0, 35, 10, 393
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\widgets\modules-widgets.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1500, 0, 0, 172, 66, 1738
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\img\contact-us-map-pin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\img\faq.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\img\mindset.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\js\app.js", "JavaScript", 0, 0, 0, 0, 403, 0, 0, 0, 0, 0, 18, 65, 486
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\js\apps\contact.js", "JavaScript", 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 9, 68, 320
